status,pages,bytes,html_path,pdf_path,error
converted,1,2930,机器人产品资料库_2026-06-21/02_Word补充资料/企业与产品资料/050_Tesla_Optimus_Gen_2_official_video_page.html,机器人产品资料库_2026-06-21/02_Word补充资料/企业与产品资料/050_Tesla_Optimus_Gen_2_official_video_page.pdf,
converted,7,14994,机器人产品资料库_2026-06-21/02_Word补充资料/企业与产品资料/051_Unitree_G1_official_product_page.html,机器人产品资料库_2026-06-21/02_Word补充资料/企业与产品资料/051_Unitree_G1_official_product_page.pdf,
converted,1,2720,机器人产品资料库_2026-06-21/02_Word补充资料/企业与产品资料/052_Unitree_G1_SDK_Development_Guide.html,机器人产品资料库_2026-06-21/02_Word补充资料/企业与产品资料/052_Unitree_G1_SDK_Development_Guide.pdf,
converted,1,2724,机器人产品资料库_2026-06-21/02_Word补充资料/企业与产品资料/053_Unitree_G1_Quick_Start___Debug_Mode.html,机器人产品资料库_2026-06-21/02_Word补充资料/企业与产品资料/053_Unitree_G1_Quick_Start___Debug_Mode.pdf,
converted,13,21434,机器人产品资料库_2026-06-21/02_Word补充资料/企业与产品资料/056_UBTECH_Walker_S2_official_product_page.html,机器人产品资料库_2026-06-21/02_Word补充资料/企业与产品资料/056_UBTECH_Walker_S2_official_product_page.pdf,
converted,2,5837,机器人产品资料库_2026-06-21/02_Word补充资料/企业与产品资料/059_Agility_Robotics_official_site.html,机器人产品资料库_2026-06-21/02_Word补充资料/企业与产品资料/059_Agility_Robotics_official_site.pdf,
converted,3,10264,机器人产品资料库_2026-06-21/02_Word补充资料/企业与产品资料/060_Agility_Robotics_humanoid_solutions.html,机器人产品资料库_2026-06-21/02_Word补充资料/企业与产品资料/060_Agility_Robotics_humanoid_solutions.pdf,
converted,7,25372,机器人产品资料库_2026-06-21/02_Word补充资料/企业与产品资料/062_NVIDIA_case_study_-_Agility_Robotics_Digit.html,机器人产品资料库_2026-06-21/02_Word补充资料/企业与产品资料/062_NVIDIA_case_study_-_Agility_Robotics_Digit.pdf,
converted,2,5776,机器人产品资料库_2026-06-21/02_Word补充资料/政策与标准/069_People's_Daily_-_humanoid_robot_embodied_AI_real-world_training_action.html,机器人产品资料库_2026-06-21/02_Word补充资料/政策与标准/069_People's_Daily_-_humanoid_robot_embodied_AI_real-world_training_action.pdf,
converted,1,3168,机器人产品资料库_2026-06-21/02_Word补充资料/政策与标准/070_Xinhua_-_humanoid_robot_real-world_training_action.html,机器人产品资料库_2026-06-21/02_Word补充资料/政策与标准/070_Xinhua_-_humanoid_robot_real-world_training_action.pdf,
converted,16,34952,机器人产品资料库_2026-06-21/02_Word补充资料/新闻与媒体/058_UBTECH_Walker_S2_mass_production_and_delivery_press_release.html,机器人产品资料库_2026-06-21/02_Word补充资料/新闻与媒体/058_UBTECH_Walker_S2_mass_production_and_delivery_press_release.pdf,
converted,3,11012,机器人产品资料库_2026-06-21/02_Word补充资料/新闻与媒体/061_Agility_Robotics_Digit_new_capabilities_announcement.html,机器人产品资料库_2026-06-21/02_Word补充资料/新闻与媒体/061_Agility_Robotics_Digit_new_capabilities_announcement.pdf,
converted,1,5273,机器人产品资料库_2026-06-21/02_Word补充资料/竞品与岗位能力/063_Rise_Robotics_product_manager_internship_JD.html,机器人产品资料库_2026-06-21/02_Word补充资料/竞品与岗位能力/063_Rise_Robotics_product_manager_internship_JD.pdf,
converted,14,67456,机器人产品资料库_2026-06-21/02_Word补充资料/竞品与岗位能力/066_Michael_Page_humanoid_robot_product_manager_JD.html,机器人产品资料库_2026-06-21/02_Word补充资料/竞品与岗位能力/066_Michael_Page_humanoid_robot_product_manager_JD.pdf,
converted,2,6709,机器人产品资料库_2026-06-21/02_Word补充资料/竞品与岗位能力/067_FJ_Dynamics_robot_hardware_product_trainee_JD.html,机器人产品资料库_2026-06-21/02_Word补充资料/竞品与岗位能力/067_FJ_Dynamics_robot_hardware_product_trainee_JD.pdf,
converted,1,2882,机器人产品资料库_2026-06-21/02_Word补充资料/竞品与岗位能力/068_Xpeng_robotics_whole-machine_project_management_intern_JD.html,机器人产品资料库_2026-06-21/02_Word补充资料/竞品与岗位能力/068_Xpeng_robotics_whole-machine_project_management_intern_JD.pdf,
